(1044512W, 325523N)	(1044619W, 323925N)
(1042311W, 323311N)	(1041344W, 322514N)
(1034652W, 320643N)	(1042349W, 325140N)
(1041405W, 322615N)	(1040248W, 322939N)
(1041317W, 322458N)	(1042412W, 325032N)
(1042200W, 325953N)	(1041417W, 321010N)
(1042702W, 320212N)	(1042412W, 325032N)
(1042250W, 322745N)	(1042508W, 324502N)
(1040551W, 321548N)	(1044359W, 321728N)
(1040325W, 321144N)	(1042341W, 324703N)
(1042331W, 322626N)	(1041157W, 323042N)
(1043959W, 321114N)	(1035735W, 324658N)
(1044636W, 321033N)	(1041410W, 322520N)
(1043948W, 321008N)	(1041351W, 322458N)
(1042755W, 322733N)	(1040414W, 321148N)
(1042753W, 325634N)	(1044028W, 320549N)
(1042909W, 322741N)	(1035617W, 322924N)
(1034918W, 320127N)	(1041614W, 322806N)
(1035502W, 322150N)	(1042742W, 322719N)
(1042311W, 324612N)	(1042818W, 320633N)
(1041421W, 323950N)	(1044514W, 320734N)
(1041757W, 323224N)	(1044941W, 322658N)
(1042340W, 324612N)	(1034657W, 323024N)
(1041112W, 322449N)	(1035250W, 322114N)
(1043021W, 323136N)	(1041657W, 322952N)
(1043849W, 320556N)	(1042331W, 324935N)
(1042318W, 324615N)	(1040822W, 320536N)
(1042548W, 325012N)	(1042410W, 325018N)
(1044800W, 321538N)	(1042410W, 325018N)
(1040545W, 321710N)	(1044929W, 321504N)
(1044656W, 322105N)	(1035051W, 324529N)
(1044642W, 320357N)	(1042016W, 323758N)
(1040135W, 322122N)	(1042347W, 325041N)
(1042442W, 324739N)	(1042410W, 325018N)
(1042410W, 325018N)	(1041507W, 321202N)
(1042344W, 324754N)	(1042311W, 324534N)
(1041344W, 322514N)	(1035938W, 320844N)
(1041739W, 323354N)	(1042939W, 320852N)
(1041403W, 322643N)	(1041041W, 323027N)
(1041109W, 323344N)	(1040222W, 325116N)
(1042850W, 322621N)	(1044935W, 322017N)
(1044632W, 321122N)	(1044859W, 325024N)
(1042153W, 322703N)	(1042503W, 324843N)
(1040634W, 321353N)	(1044445W, 320925N)
(1042301W, 325032N)	(1042412W, 325032N)
(1045004W, 322611N)	(1044445W, 321127N)
(1042425W, 321455N)	(1040416W, 322947N)
(1042440W, 322037N)	(1040937W, 323249N)
(1034156W, 320424N)	(1031842W, 320219N)
(1042348W, 325104N)	(1042857W, 322416N)
(1044456W, 322657N)	(1044834W, 322302N)
(1042443W, 320245N)	(1044512W, 325523N)
(1042316W, 325034N)	(1043818W, 321454N)
(1041258W, 322637N)	(1040331W, 320814N)
(1041319W, 322440N)	(1035453W, 322144N)
(1042343W, 324706N)	(1035638W, 322439N)
(1041418W, 322423N)	(1041410W, 322520N)
(1044945W, 322701N)	(1043154W, 324703N)
(1042305W, 325004N)	(1042348W, 322907N)
(1034627W, 320309N)	(1035923W, 321315N)
(1042407W, 325027N)	(1044514W, 320734N)
(1035652W, 323610N)	(1041610W, 321156N)
(1041342W, 322514N)	(1043535W, 323335N)
(1040236W, 323202N)	(1042150W, 321643N)
(1041723W, 322541N)	(1041611W, 322207N)
(1035742W, 324335N)	(1041426W, 322745N)
(1042412W, 325032N)	(1041410W, 322520N)
(1044309W, 324650N)	(1041830W, 321601N)
(1040917W, 320651N)	(1042339W, 324654N)
(1035104W, 321128N)	(1042952W, 322110N)
(1042429W, 323542N)	(1040125W, 320303N)
(1044614W, 324754N)	(1042320W, 324610N)
(1042328W, 324716N)	(1044734W, 320643N)
(1044652W, 322505N)	(1044240W, 324312N)
(1042745W, 321755N)	(1043601W, 321250N)
(1044636W, 320951N)	(1045029W, 322349N)
(1041657W, 324944N)	(1041334W, 323617N)
(1044714W, 321057N)	(1041047W, 325413N)
(1044429W, 320431N)	(1042131W, 321031N)
(1035636W, 323604N)	(1043304W, 323644N)
(1034850W, 320905N)	(1035903W, 325521N)
(1042659W, 324934N)	(1044233W, 325719N)
(1044824W, 320930N)	(1042239W, 324501N)
(1042328W, 324857N)	(1044327W, 323522N)
(1042556W, 324807N)	(1042308W, 325004N)
(1043213W, 322101N)	(1040548W, 321711N)
(1044309W, 320716N)	(1042447W, 325019N)
(1042109W, 320122N)	(1034428W, 320044N)
(1042542W, 324534N)	(1035742W, 324335N)
(1042718W, 321804N)	(1040327W, 321939N)
(1042415W, 324900N)	(1035840W, 324908N)
(1041450W, 322343N)	(1041041W, 323027N)
(1042614W, 325120N)	(1034346W, 320358N)
(1040257W, 321032N)	(1043334W, 320558N)
(1043910W, 325404N)	(1041317W, 322458N)
(1034333W, 323101N)	(1042401W, 324929N)
(1043727W, 321021N)	(1042547W, 324729N)
(1042757W, 322646N)	(1035942W, 323346N)
(1042412W, 325032N)	(1044408W, 324857N)
(1044302W, 322223N)	(1040357W, 321315N)
(1042351W, 322609N)	(1035658W, 321246N)
(1042420W, 325025N)	(1042358W, 325038N)
(1041519W, 321212N)	(1043400W, 322132N)
(1044423W, 322727N)	(1041517W, 322534N)
(1040640W, 322006N)	(1040414W, 320300N)
(1041410W, 322620N)	(1041143W, 323512N)
(1043926W, 322539N)	(1041419W, 320733N)
(1041305W, 322305N)	(1042140W, 321316N)
(1034915W, 323947N)	(1041249W, 322702N)
(1041532W, 322220N)	(1040016W, 320424N)
(1044456W, 322657N)	(1042619W, 322801N)
(1042250W, 322745N)	(1041519W, 321212N)
(1040545W, 321710N)	(1043754W, 322045N)
(1042445W, 324847N)	(1043808W, 324451N)
(1040457W, 320439N)	(1043938W, 324237N)
(1041408W, 322610N)	(1042650W, 325022N)
(1042642W, 320144N)	(1042548W, 324912N)
(1041128W, 324603N)	(1042242W, 324821N)
(1035125W, 321207N)	(1043809W, 322026N)
(1040932W, 320956N)	(1034450W, 322748N)
(1042741W, 321814N)	(1033216W, 321629N)
(1040545W, 321710N)	(1035903W, 325521N)
(1041705W, 322510N)	(1043626W, 321841N)
(1042446W, 324807N)	(1042756W, 320640N)
(1040123W, 321127N)	(1042909W, 322741N)
(1043329W, 325605N)	(1043154W, 324703N)
(1042412W, 325032N)	(1043408W, 323223N)
(1042006W, 321917N)	(1044126W, 321209N)
(1044703W, 322132N)	(1043626W, 321841N)
(1040545W, 321710N)	(1042446W, 324624N)
(1044414W, 321202N)	(1041922W, 320823N)
(1044100W, 321250N)	(1042447W, 324958N)
(1044636W, 320951N)	(1042323W, 324654N)
(1040609W, 321602N)	(1044615W, 321253N)
(1044615W, 325046N)	(1044038W, 325653N)
(1043339W, 321107N)	(1043445W, 323323N)
(1041753W, 324115N)	(1042623W, 322817N)
(1042429W, 325013N)	(1044503W, 320440N)
(1042242W, 324952N)	(1045013W, 321219N)
(1041514W, 322924N)	(1040152W, 321846N)
(1043515W, 320723N)	(1041838W, 322442N)
(1040844W, 322306N)	(1035045W, 320124N)
(1042239W, 324527N)	(1042236W, 321032N)
(1044625W, 321209N)	(1040551W, 321548N)
(1042755W, 322733N)	(1041229W, 324739N)
(1043617W, 321846N)	(1041030W, 320126N)
(1041344W, 322514N)	(1034509W, 321233N)
(1041411W, 322548N)	(1042412W, 325032N)
(1042757W, 324925N)	(1042359W, 325033N)
(1042140W, 321316N)	(1044811W, 320923N)
(1041100W, 323146N)	(1042433W, 323541N)
(1042357W, 325022N)	(1043011W, 323345N)
(1042340W, 324612N)	(1042320W, 324610N)
(1042016W, 323758N)	(1042154W, 324659N)
(1044616W, 320558N)	(1041404W, 322736N)
(1035528W, 321742N)	(1044923W, 320206N)
(1040932W, 320956N)	(1042153W, 322703N)
(1041123W, 325447N)	(1042331W, 324935N)
(1042412W, 325032N)	(1044302W, 323559N)
(1042331W, 324702N)	(1034418W, 322629N)
